 ,Australia,Brazil,Canada,Switzerland,Chile,China,Colombia,United Kingdom,Hong Kong SAR,Indonesia,India,Japan,Cambodia,Korea,Mexico,Malaysia,New Zealand,Peru,Philippines,Sweden,Singapore,Thailand,United States,Vietnam,Eurosystem,South Africa,Turkey
[182],These cash deposits or the BREMS R pay the Overnight Interbank Funding Rate (reference rate) in compounded terms for a 28-day period,,,,,,,,,,,,,,,,,,,,,,,,,,
[183],No remuneration on the reserve balances held at Bank of Thailand.,,,,,,,,,,,,,,,,,,,,,,,,,,
[184],"Circular No. 30/2019/TT-NHNN dated December 27, 2019 providing for the implementation of required reserve by credit institutions and foreign bank branches",,,,,,,,,,,,,,,,,,,,,,,,,,
[185],"Remuneration rate applied to Turkish lira-denominated required reserves are set to 0%, as of 15/4/2022.",,,,,,,,,,,,,,,,,,,,,,,,,,
[186],Was previously at target cash rate. Moved to floor (ie same as remuneration on surplus ES balances when that rate was moved to zero),,,,,,,,,,,,,,,,,,,,,,,,,,
[187],"Reference rate (TR) is calculated daily using the fixed rates for 30 days minus a ""reducer"". Used mainly for Savings accounts and real state financing",,,,,,,,,,,,,,,,,,,,,,,,,,
[188],Same as previous line.,,,,,,,,,,,,,,,,,,,,,,,,,,
[189],Financial institutions no longer required to contract open repos with the RBA,,,,,,,,,,,,,,,,,,,,,,,,,,
[190],https://www.bankofcanada.ca/wp-content/uploads/2010/05/wp97-8.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
[191],"In April 2020 the Board of Directors decided to inject permanent liquidity to the economy by reducing reserve requirements on current accounts, savings accounts, Certificates of Deposit (CD) of less than 18-month maturities, among others. In July 2020 (effective in November 2020) the reserve requirements on non-negotiable Certificates of Deposit (CDAT in Spanish) were changed.",,,,,,,,,,,,,,,,,,,,,,,,,,
[192],Reserve Requirement was last increased by 50 bps in May 2022 to 4.50%,,,,,,,,,,,,,,,,,,,,,,,,,,
[193],"During March 2020, the central bank decided to reduce the amount commercial and development banks held in DRMs by 50 billion MXN. From the total amount oustanding, approximately MXN 168 billion are held in cash deposits and MXN 102 billion are held in the form of BREMS R",,,,,,,,,,,,,,,,,,,,,,,,,,
[194],This is to allow the flexibility using government securities to meet reserve requirement. The flexibility is set to expire at the end of the year on 31 Dec 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[195],"Unified the statutory and liquidity reserve requirement into a single, combined requirement. Cash in vault omitted as eligible reserves. Only reserve deposits with the BSP remain eligible as reserve cover. Remuneration on reserves deposits discontinued.",,,,,,,,,,,,,,,,,,,,,,,,,,
[196],Change in definition of cash balance.,,,,,,,,,,,,,,,,,,,,,,,,,,
[197],Reserve requirement ratios are set to zero. Calculation and maintenance of reserve requirements are no longer applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,
[198],Excess reserves are currently positive but structural flows deduct from liquidity position.,,,,,,,,,,,,,,,,,,,,,,,,,,
[199],Likely that current reserves levels are a surplus over banks’ unconstrained reserve demand – but reserves averaging currently suspended.,,,,,,,,,,,,,,,,,,,,,,,,,,
[200],The central bank has carried out operations to secure a net creditor position against the system.,,,,,,,,,,,,,,,,,,,,,,,,,,
[201],TFSME can be repaid early as and when participants wish to.,,,,,,,,,,,,,,,,,,,,,,,,,,
[202],"Response changes depending on the period. Unpredictable for next day, next couple weeks/month ?",,,,,,,,,,,,,,,,,,,,,,,,,,
[203],"BSP's purchases of government securities in 2020, and foreign exchange operations in 2020 and 2022",,,,,,,,,,,,,,,,,,,,,,,,,,
[204],"The Reserve Bank has system liquidity forecasts out to 1 year, based on Government budget forecasts, past outlays patterns and monthly profiles from the Australian Taxation Office.",,,,,,,,,,,,,,,,,,,,,,,,,,
[205],"Information for the implementation of daily OMOs is incorporated on a daily basis. However, the longer term liquidity forecasts are revised on a quarterly basis.",,,,,,,,,,,,,,,,,,,,,,,,,,
[206],"The forecast is published on a daily basis only for the current day, approximately fifteen minutes before OMOs start.",,,,,,,,,,,,,,,,,,,,,,,,,,
[207],"Daily within RBNZ, and to New Zealand Debt Management Office. The RBNZ advises the financial markets each day of the next day’s expected change in the settlement cash level and for the following two weeks.",,,,,,,,,,,,,,,,,,,,,,,,,,
[208],The Bank of Thailand publishes daily the system current reserve balances held at the BOT and the average reserve balances (to date) in current maintenance period.,,,,,,,,,,,,,,,,,,,,,,,,,,
[209],The Treasury Department publishes its assumed end-of-quarter cash balance in its quarterly marketable borrowing estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,
[210],weekly,,,,,,,,,,,,,,,,,,,,,,,,,,
[211],"""Fine Tuning Facility""",,,,,,,,,,,,,,,,,,,,,,,,,,
[212],https://www.bankofcanada.ca/markets/market-operations-liquidity-provision/market-operations-programs-and-facilities/,,,,,,,,,,,,,,,,,,,,,,,,,,
[213],https://www.boj.or.jp/en/mopo/measures/mkt_ope/len_a/index.htm/,,,,,,,,,,,,,,,,,,,,,,,,,,
[214],MLF,,,,,,,,,,,,,,,,,,,,,,,,,,
[215],"2010 Law on the State Bank of Vietnam, Circular No. 17/2011/TT-NHNN dated August 18, 2011 as amended and supplemented by Circular No. 37/2011/TT-NHNN dated December 12, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
[216],Repos started being implemented in 2019.,,,,,,,,,,,,,,,,,,,,,,,,,,
[217],"Circular No. 17/2011/TT-NHNN dated August 18, 2011 as amended and supplemented by Circular No. 37/2011/TT-NHNN dated December 12, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
[218],https://www.bankofcanada.ca/wp-content/uploads/2015/12/rules-governing-advances-financial-institutions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
[219],"Base Rate is set as either 50 basis points above the lower end of the target range for US Fed funds rate or the average of the five-day moving averages of the overnight and 1-month HIBORs, whichever is higher.",,,,,,,,,,,,,,,,,,,,,,,,,,
[220],"When the Base rate is less than 1%, it is calculated as twice the Base rate. The MPB may adjust the interest rates for loans to the level of the Base rate, if deemed necessary to facilitate the functioning of the financial market.",,,,,,,,,,,,,,,,,,,,,,,,,,
[221],"The reference rate is the weighted average of successful bids for MAS’ SGD 500 m overnight clean borrowing conducted during Money Market Operations on the same day, rounded to two decimal places.",,,,,,,,,,,,,,,,,,,,,,,,,,
[222],"Circular No. 17/2011/TT-NHNN dated August 18, 2011 as amended and supplemented by Circular No. 37/2011/TT-NHNN dated December 12, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
[223],5 times rollover,,,,,,,,,,,,,,,,,,,,,,,,,,
[224],"The MBP may extend the loan period for Liquidity-adjusted loans within the range of one month, if deemed necessary to facilitate the functioning of the financial market.",,,,,,,,,,,,,,,,,,,,,,,,,,
[225],"In 2020, the Federal Reserve announced that depository institutions may borrow from the discount window for periods as long as 90 days, prepayable and renewable by the borrower on a daily basis.",,,,,,,,,,,,,,,,,,,,,,,,,,
[226],"Circular No. 17/2011/TT-NHNN dated August 18, 2011 as amended and supplemented by Circular No. 37/2011/TT-NHNN dated December 12, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
[227],https://www.bankofcanada.ca/markets/market-operations-liquidity-provision/browse-collateral-policies/,,,,,,,,,,,,,,,,,,,,,,,,,,
[228],In March of 2022 eligible counterparties were set to the ones mentioned.,,,,,,,,,,,,,,,,,,,,,,,,,,
[229],"The term ‘broker-dealers’ refers to PRA-designated investment firms, see www.bankofengland.co.uk/pra/pages/authorisations/designatedfirmslist.aspx.",,,,,,,,,,,,,,,,,,,,,,,,,,
[230],Exchange Fund paper.,,,,,,,,,,,,,,,,,,,,,,,,,,
[231],"Depository institutions include: commercial banks, thrifts, credit unions, and US branches and agencies of foreign banks.",,,,,,,,,,,,,,,,,,,,,,,,,,
[232],"Circular No. 17/2011/TT-NHNN dated August 18, 2011 as amended and supplemented by Circular No. 37/2011/TT-NHNN dated December 12, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
[233],https://www.bankofcanada.ca/markets/market-operations-liquidity-provision/framework-market-operations-liquidity-provision/,,,,,,,,,,,,,,,,,,,,,,,,,,
[234],2010 Law on the State Bank of Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,
[235],"""Fine Tuning Facility""",,,,,,,,,,,,,,,,,,,,,,,,,,
[236],including deposit facility sharia in the form of other contract in sharia principle,,,,,,,,,,,,,,,,,,,,,,,,,,
[237],"The standing deposit facility was notified in April 2018 and operationalised from April 08, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,
[238],A temporary measure. https://www.boj.or.jp/en/mopo/measures/mkt_ope/oth_a/index.htm/,,,,,,,,,,,,,,,,,,,,,,,,,,
[239],"This table refers to the interest that depository institutions receive on their reserve balances held at the Federal Reserve. The Federal Reserve also has an ON RRP facility as a supplementary tool, which is available to a different set of counterparties to also support the floor (see Table 8a).",,,,,,,,,,,,,,,,,,,,,,,,,,
[240],"The lower bound is 0% The MPB may adjust the interest rates for deposits to the level of the Base rate, if deemed necessary to facilitate the functioning of the financial market.",,,,,,,,,,,,,,,,,,,,,,,,,,
[241],"The reference rate is the weighted average of successful bids for MAS’ SGD 500 m overnight clean borrowing conducted during Money Market Operations on the same day, rounded to two decimal places.",,,,,,,,,,,,,,,,,,,,,,,,,,
[242],In March of 2022 eligible counterparties were set to the ones mentioned.,,,,,,,,,,,,,,,,,,,,,,,,,,
[243],"The term ‘broker-dealers’ refers to PRA-designated investment firms, see www.bankofengland.co.uk/pra/pages/authorisations/designatedfirmslist.aspx.",,,,,,,,,,,,,,,,,,,,,,,,,,
[244],"RP=Reversed purchase (“repo”), RS=RRP=Reversed Sales (“reverse repo”), RT=Reversed transaction (RP or RRP).",,,,,,,,,,,,,,,,,,,,,,,,,,
[245],https://www.bankofcanada.ca/markets/market-operations-liquidity-provision/market-operations-programs-and-facilities/,,,,,,,,,,,,,,,,,,,,,,,,,,
[246],"* RS are not currently available. Transitory contraction is made through remunerated term deposits, which are uncollateralized.",,,,,,,,,,,,,,,,,,,,,,,,,,
[247],(i) and (ii) including other contract in sharia principle,,,,,,,,,,,,,,,,,,,,,,,,,,
[248],"With the purpose of absorbing liquidity, the central bank carries out deposit auctions. The Bank of Mexico does not provide any type of collateral to banks, hence, we execute these OMOs operations through deposits and not RRPs.",,,,,,,,,,,,,,,,,,,,,,,,,,
[249],Regulations in Circular 42/2015/TT-NHNN on OMOs (Circular 42),,,,,,,,,,,,,,,,,,,,,,,,,,
[250],RP or collateralised credit: Standard variable rate tenders.,,,,,,,,,,,,,,,,,,,,,,,,,,
[251],More than 90% of the volume through 1 day. Not usual to go beyond 3 months,,,,,,,,,,,,,,,,,,,,,,,,,,
[252],The maturity of credit operations has been of up to 55 days.,,,,,,,,,,,,,,,,,,,,,,,,,,
[253],(i) current: 2 week - 3 month: daily; 6-12 month: 1x/week (ii) current: 2 week - 1 month: 3x/week; 3 month: 1x/week; 6-12 month: 1x/month,,,,,,,,,,,,,,,,,,,,,,,,,,
[254],Article 12 Circular 42,,,,,,,,,,,,,,,,,,,,,,,,,,
[255],As needed: Normally at the end of the maintenance period.,,,,,,,,,,,,,,,,,,,,,,,,,,
[256],"The fixed hurdle rate is the rate on term-matched overnight indexed swaps (OIS) plus a modest spread. Currently, this spread is around 5 basis points, but subject to change depending on market conditions.",,,,,,,,,,,,,,,,,,,,,,,,,,
[257],ON RRP operations are conducted at a fixed offering rate if total propositions are less than the aggregate limit and are conducted as a single-price auction if propositions exceed the aggregate limit.,,,,,,,,,,,,,,,,,,,,,,,,,,
[258],Article 12 Circular 42,,,,,,,,,,,,,,,,,,,,,,,,,,
[259],In March of 2022 eligible counterparties were set to the ones mentioned.,,,,,,,,,,,,,,,,,,,,,,,,,,
[260],"The term ‘broker-dealers’ refers to PRA-designated investment firms, see www.bankofengland.co.uk/pra/pages/authorisations/designatedfirmslist.aspx.",,,,,,,,,,,,,,,,,,,,,,,,,,
[261],Article 5 Circular 42,,,,,,,,,,,,,,,,,,,,,,,,,,
[262],"Provide money market participants with certainty regarding their liquidity needs, which contributes to the stability of money markets, leading makets participants to engage in funding operations at a similar rate to the key policy rate.",,,,,,,,,,,,,,,,,,,,,,,,,,
[263],BCB is forbidden to issue bonds by Federal Law,,,,,,,,,,,,,,,,,,,,,,,,,,
[264],The PBC launched central-bank bills issuance in Hong Kong since November 2018.,,,,,,,,,,,,,,,,,,,,,,,,,,
[265],*Banco de la Republica has never issue its own bills. Permanent monetary contraction is implemented with outright transactions.,,,,,,,,,,,,,,,,,,,,,,,,,,
[266],Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,
[267],"The Bank of Mexico uses government bonds for its outright securities sell/purchase OMOs. However, it should be stressed that these securities do not finance the government and that the financial costs are completely covered by the central bank. Any proceeds from the sale of these instruments are kept in a frozen and special account on the Bank's balance. The Central Bank adds to this account any accrued interest during the life of said instruments. Said deposits are only credited when the maturity of an instrument happens for the principal + coupon payments.",,,,,,,,,,,,,,,,,,,,,,,,,,
[268],Regulations in Circular 42/2015/TT-NHNN on OMOs (Circular 42) and Circular 16/2019/TT-NHNN on issuance of SBV bills (Circular 16),,,,,,,,,,,,,,,,,,,,,,,,,,
[269],Average outstanding during 2022 (last five years average outstanding is CLP$ 14 trn).,,,,,,,,,,,,,,,,,,,,,,,,,,
[270],"(i) SBI last auctioned on Sep 13th, 2019; (ii) SDBI last auctioned on July 2nd, 2018; (iii) SBIS last auctioned on Mar 5, 2021; (iv) outstanding as of Nov 18, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,
[271],as of 19 August 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[272],As of end-of-August in 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
[273],"As of July 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,
[274],RM2.2 bil for BNIB and RM5.2 bil for BNIBF-DB,,,,,,,,,,,,,,,,,,,,,,,,,,
[275],"As of Juy 31, 2022.",,,,,,,,,,,,,,,,,,,,,,,,,,
